"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)"
"1","1990","14","Chhattisgarh","Durg","397.9","481.4","1210.0","18.2","13.4","736.0","3.3","2.8","848.0","0.02","0.0","0.0","0.0","0.0","0.0"
"1","1991","14","Chhattisgarh","Durg","393.2","508.6","1293.0","18.3","11.8","645.0","2.5","2.6","1040.0","0.08","0.1","1250.0","0.0","0.0","0.0"
"1","1992","14","Chhattisgarh","Durg","398.4","514.5","1291.0","17.1","10.7","626.0","1.6","2.3","1438.0","0.06","0.1","1667.0","0.01","0.0","0.0"
"1","1993","14","Chhattisgarh","Durg","410.2","569.1","1387.0","17.0","12.1","712.0","2.4","2.5","1042.0","0.04","0.1","2500.0","0.03","0.0","0.0"
"1","1994","14","Chhattisgarh","Durg","430.1","601.7","1399.0","17.5","14.2","811.0","1.1","1.1","1000.0","0.1","0.1","1000.0","0.0","0.0","0.0"
"1","1995","14","Chhattisgarh","Durg","424.0","639.1","1507.0","17.9","12.5","698.0","0.8","0.9","1125.0","0.1","0.1","1000.0","0.0","0.0","0.0"
"1","1996","14","Chhattisgarh","Durg","407.1","605.1","1486.0","16.8","13.4","798.0","0.8","0.8","1000.0","0.1","0.2","2000.0","0.0","0.0","0.0"
"1","1997","14","Chhattisgarh","Durg","432.8","547.4","1265.0","16.9","6.5","385.0","1.1","1.2","1091.0","0.06","0.1","1667.0","0.0","0.0","0.0"
"1","1998","14","Chhattisgarh","Durg","411.9","354.0","859.0","16.4","10.5","640.0","1.0","1.0","1000.0","0.1","0.2","2000.0","0.0","0.0","0.0"
"1","1999","14","Chhattisgarh","Durg","457.94","601.91","1314.0","-1.0","-1.0","-1.0","1.1","1.1","1000.0","0.08","1.5","18750.0","0.0","0.0","0.0"
"1","2000","14","Chhattisgarh","Durg","435.3","224.17","515.0","14.7","9.95","677.0","0.99","0.93","939.0","0.1","0.01","100.0","0.0","0.0","0.0"
