"Dist Code","Year","State Code","State Name","Dist Name","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)"
"1","1990","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","1991","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","1992","14","Chhattisgarh","Durg","0.01","0.0","0.0"
"1","1993","14","Chhattisgarh","Durg","0.03","0.0","0.0"
"1","1994","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","1995","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","1996","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","1997","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","1998","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","1999","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","2000","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","2001","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","2002","14","Chhattisgarh","Durg","0.02","0.01","500.0"
"1","2003","14","Chhattisgarh","Durg","0.05","0.03","600.0"
"1","2004","14","Chhattisgarh","Durg","0.4","0.2","500.0"
"1","2005","14","Chhattisgarh","Durg","0.0","0.0","0.0"
"1","2006","14","Chhattisgarh","Durg","0.19","0.05","263.0"
"1","2007","14","Chhattisgarh","Durg","0.04","0.01","250.0"
"1","2008","14","Chhattisgarh","Durg","0.01","0.01","1000.0"
"1","2009","14","Chhattisgarh","Durg","0.01","0.0","0.0"
"1","2010","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0"
"1","2011","14","Chhattisgarh","Durg","0.03","0.01","333.0"
"1","2012","14","Chhattisgarh","Durg","0.08","0.02","250.0"
"1","2013","14","Chhattisgarh","Durg","0.03","0.01","333.0"
"1","2014","14","Chhattisgarh","Durg","0.03","0.01","333.0"
"1","2015","14","Chhattisgarh","Durg","0.02","0.0","0.0"
"1","2016","14","Chhattisgarh","Durg","0.03","0.01","304.0"
"1","2017","14","Chhattisgarh","Durg","0.17","0.05","267.0"
"2","1990","14","Chhattisgarh","Bastar","0.0","0.0","0.0"
