"Dist Code","Year","State Code","State Name","Dist Name","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)"
"1","1990","14","Chhattisgarh","Durg","0.02","0.0","0.0"
"1","1991","14","Chhattisgarh","Durg","0.08","0.1","1250.0"
"1","1992","14","Chhattisgarh","Durg","0.06","0.1","1667.0"
"1","1993","14","Chhattisgarh","Durg","0.04","0.1","2500.0"
"1","1994","14","Chhattisgarh","Durg","0.1","0.1","1000.0"
"1","1995","14","Chhattisgarh","Durg","0.1","0.1","1000.0"
"1","1996","14","Chhattisgarh","Durg","0.1","0.2","2000.0"
"1","1997","14","Chhattisgarh","Durg","0.06","0.1","1667.0"
"1","1998","14","Chhattisgarh","Durg","0.1","0.2","2000.0"
"1","1999","14","Chhattisgarh","Durg","0.08","1.5","18750.0"
"1","2000","14","Chhattisgarh","Durg","0.1","0.01","100.0"
"1","2001","14","Chhattisgarh","Durg","0.17","0.03","176.0"
"1","2002","14","Chhattisgarh","Durg","0.1","0.02","200.0"
"1","2003","14","Chhattisgarh","Durg","0.44","0.08","182.0"
"1","2004","14","Chhattisgarh","Durg","0.84","0.15","179.0"
"1","2005","14","Chhattisgarh","Durg","0.84","0.15","179.0"
"1","2006","14","Chhattisgarh","Durg","2.32","0.16","69.0"
"1","2007","14","Chhattisgarh","Durg","4.12","0.52","126.0"
"1","2008","14","Chhattisgarh","Durg","3.12","0.3","96.0"
"1","2009","14","Chhattisgarh","Durg","2.98","0.76","255.0"
"1","2010","14","Chhattisgarh","Durg","2.5","0.78","312.0"
"1","2011","14","Chhattisgarh","Durg","0.1","0.12","1200.0"
"1","2012","14","Chhattisgarh","Durg","0.32","0.09","281.0"
"1","2013","14","Chhattisgarh","Durg","0.43","0.13","302.0"
"1","2014","14","Chhattisgarh","Durg","0.26","0.13","500.0"
"1","2015","14","Chhattisgarh","Durg","0.02","0.01","309.0"
"1","2016","14","Chhattisgarh","Durg","0.41","0.04","103.0"
"1","2017","14","Chhattisgarh","Durg","0.32","0.0","1.0"
"2","1990","14","Chhattisgarh","Bastar","0.3","1.1","3667.0"
"2","1991","14","Chhattisgarh","Bastar","0.17","0.5","2941.0"
"2","1992","14","Chhattisgarh","Bastar","0.37","1.3","3514.0"
"2","1993","14","Chhattisgarh","Bastar","0.24","0.9","3750.0"
"2","1994","14","Chhattisgarh","Bastar","0.3","0.9","3000.0"
"2","1995","14","Chhattisgarh","Bastar","0.3","1.1","3667.0"
"2","1996","14","Chhattisgarh","Bastar","0.4","1.3","3250.0"
"2","1997","14","Chhattisgarh","Bastar","0.29","1.0","3448.0"
"2","1998","14","Chhattisgarh","Bastar","0.3","1.2","4000.0"
"2","1999","14","Chhattisgarh","Bastar","0.37","1.34","3622.0"
