"Dist Code","Year","State Code","State Name","Dist Name","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)"
"1","1990","14","Chhattisgarh","Durg","18.2","13.4","736.0"
"1","1991","14","Chhattisgarh","Durg","18.3","11.8","645.0"
"1","1992","14","Chhattisgarh","Durg","17.1","10.7","626.0"
"1","1993","14","Chhattisgarh","Durg","17.0","12.1","712.0"
"1","1994","14","Chhattisgarh","Durg","17.5","14.2","811.0"
"1","1995","14","Chhattisgarh","Durg","17.9","12.5","698.0"
"1","1996","14","Chhattisgarh","Durg","16.8","13.4","798.0"
"1","1997","14","Chhattisgarh","Durg","16.9","6.5","385.0"
"1","1998","14","Chhattisgarh","Durg","16.4","10.5","640.0"
"1","1999","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0"
"1","2000","14","Chhattisgarh","Durg","14.7","9.95","677.0"
"1","2001","14","Chhattisgarh","Durg","18.29","12.84","702.0"
"1","2002","14","Chhattisgarh","Durg","18.4","14.4","783.0"
"1","2003","14","Chhattisgarh","Durg","19.55","15.05","770.0"
"1","2004","14","Chhattisgarh","Durg","19.16","11.59","605.0"
"1","2005","14","Chhattisgarh","Durg","19.16","11.59","605.0"
"1","2006","14","Chhattisgarh","Durg","19.09","14.4","754.0"
"1","2007","14","Chhattisgarh","Durg","20.17","19.43","963.0"
"1","2008","14","Chhattisgarh","Durg","19.75","18.89","956.0"
"1","2009","14","Chhattisgarh","Durg","24.55","23.16","943.0"
"1","2010","14","Chhattisgarh","Durg","27.3","26.9","985.0"
"1","2011","14","Chhattisgarh","Durg","6.76","7.4","1095.0"
"1","2012","14","Chhattisgarh","Durg","6.66","7.49","1125.0"
"1","2013","14","Chhattisgarh","Durg","6.23","7.06","1133.0"
"1","2014","14","Chhattisgarh","Durg","6.36","7.37","1159.0"
"1","2015","14","Chhattisgarh","Durg","6.38","8.43","1321.0"
"1","2016","14","Chhattisgarh","Durg","7.13","10.19","1429.0"
"1","2017","14","Chhattisgarh","Durg","6.78","6.94","1023.0"
"2","1990","14","Chhattisgarh","Bastar","2.0","2.4","1200.0"
"2","1991","14","Chhattisgarh","Bastar","2.2","3.0","1364.0"
"2","1992","14","Chhattisgarh","Bastar","1.6","2.0","1250.0"
"2","1993","14","Chhattisgarh","Bastar","1.8","2.6","1444.0"
"2","1994","14","Chhattisgarh","Bastar","1.6","2.4","1500.0"
"2","1995","14","Chhattisgarh","Bastar","1.6","2.5","1563.0"
"2","1996","14","Chhattisgarh","Bastar","2.0","3.3","1650.0"
"2","1997","14","Chhattisgarh","Bastar","1.4","2.2","1571.0"
"2","1998","14","Chhattisgarh","Bastar","2.0","3.2","1600.0"
"2","1999","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0"
"2","2000","14","Chhattisgarh","Bastar","0.87","1.68","1931.0"
"2","2001","14","Chhattisgarh","Bastar","1.06","1.13","1066.0"
"2","2002","14","Chhattisgarh","Bastar","1.11","2.14","1928.0"
"2","2003","14","Chhattisgarh","Bastar","1.16","1.77","1526.0"
"2","2004","14","Chhattisgarh","Bastar","1.1","1.7","1545.0"
"2","2005","14","Chhattisgarh","Bastar","1.1","1.7","1545.0"
"2","2006","14","Chhattisgarh","Bastar","0.98","1.63","1663.0"
"2","2007","14","Chhattisgarh","Bastar","0.87","1.82","2092.0"
"2","2008","14","Chhattisgarh","Bastar","0.89","1.73","1944.0"
"2","2009","14","Chhattisgarh","Bastar","0.82","1.65","2012.0"
"2","2010","14","Chhattisgarh","Bastar","0.88","1.76","2000.0"
"2","2011","14","Chhattisgarh","Bastar","0.43","0.86","2000.0"
"2","2012","14","Chhattisgarh","Bastar","0.4","0.88","2200.0"
"2","2013","14","Chhattisgarh","Bastar","0.35","0.75","2143.0"
